age(ce),Mg25,Sr88
1910.59,6606.52,147.869
1910.51,6398.21,145.521
1910.43,7173.16,154.141
1910.34,6938.37,139.35
1910.27,6204.98,167.353
1910.18,6475.47,135.232
1910.1,5842.93,189.378
1910.02,5494.67,157.859
1909.94,4910.52,131.434
1909.86,5251.13,158.597
1909.78,4950.8,136.627
1909.7,5761.55,153.359
1909.62,5262.3,141.24
1909.53,4896.44,168.877
1909.46,5236.44,135.519
1909.37,6102.17,155.928
1909.3,5230.06,141.216
1909.21,5221.32,134.727
1909.13,4953.9,148.266
1909.05,5430.97,129.027
1908.97,5183.54,139.189
1908.89,4731.74,141.974
1908.81,5799.86,151.468
1908.73,4031.95,149.886
1908.65,4698.25,152.695
1908.56,4519.21,170.814
1908.49,4427.17,141.79
1908.4,4774.21,169.782
1908.32,4730.35,155.582
1908.24,5502.09,141.414
1908.16,4434.75,165.864
1908.08,4987.12,138.001
1908,5214.27,147.036
1907.92,6164.15,164.412
1907.84,7008.59,321.405
1907.75,8096.79,131.637
1907.68,7690.33,261.786
1907.59,9441.65,151.524
1907.52,10568.29,149.561
1907.43,8542.58,139.209
1907.35,9406.65,208.791
1907.27,9769.85,180.689
1907.19,9459.12,155.665
1907.11,9963.38,184.28
1907.03,9816.71,149.709
1906.95,10124.7,162.217
1906.87,8589.68,148.762
1906.78,7638.45,121.192
1906.71,8070.1,164.267
1906.62,8072.33,171.411
1906.54,9432.67,570.039
1906.46,6687.13,153.509
1906.38,6500.87,131.448
1906.3,6852.78,160.82
1906.22,7920.02,135.544
1906.14,6372.05,147.122
1906.06,5990.89,157.604
1905.97,6424.68,173.3
1905.9,6318.86,296.842
1905.81,6907.57,141.946
1905.73,6994.17,150.221
1905.65,6681.55,142.463
1905.57,6822.8,147.445
1905.49,6948.07,127.8
1905.4,6351.09,119.988
1905.33,6485.07,138.475
1905.24,8455.74,141.432
1905.17,7952.24,159.11
1905.08,7593.51,173.889
1905,8483.41,160.98
1904.92,7144.4,149.515
1904.84,7816.65,126.559
1904.76,9168.47,182.071
1904.68,7588.19,155.908
1904.6,8870.49,134.367
1904.52,8203.29,149.191
1904.43,7904.11,147.033
1904.36,8080.47,137.295
1904.27,7395.86,145.035
1904.19,6707.72,227.7
1904.11,8175.35,172.611
1904.03,5844.58,147.892
1903.95,7575.6,156.323
