age_calBP,Rainfall Index
379,-0.4825
380,-0.4602
381,-0.438
382,-0.4157
383,-0.3935
384,-0.3712
385,-0.3685
386,-0.3659
387,-0.3632
388,-0.3606
389,-0.3579
390,-0.3553
391,-0.3526
392,-0.3499
393,-0.3473
394,-0.3446
395,-0.342
396,-0.3393
397,-0.3367
398,-0.334
399,-0.3313
400,-0.3287
401,-0.3562
402,-0.3837
403,-0.4113
404,-0.4388
405,-0.4663
406,-0.4939
407,-0.5214
408,-0.5489
409,-0.5764
410,-0.581
411,-0.5857
412,-0.5903
413,-0.5949
414,-0.5995
415,-0.5773
416,-0.555
417,-0.5328
418,-0.5105
419,-0.4882
420,-0.4809
421,-0.4736
422,-0.4662
423,-0.4589
424,-0.4516
425,-0.4442
426,-0.4369
427,-0.4296
428,-0.4223
429,-0.3664
430,-0.3105
431,-0.2466
432,-0.1828
433,-0.1189
434,-0.055
435,0.0089
436,0.0727
437,0.1366
438,0.1141
439,0.0915
440,0.069
441,0.0464
442,0.0239
443,0.0013
444,-0.0212
445,-0.0437
446,-0.0663
447,-0.0664
448,-0.0616
449,-0.0567
450,-0.0519
451,-0.0471
452,-0.0422
453,-0.0374
454,-0.0325
455,-0.0277
456,-0.0229
457,-0.0286
458,-0.0343
459,-0.0401
460,-0.0458
461,-0.0572
462,-0.0685
463,-0.0798
464,-0.0912
465,-0.1025
466,-0.1139
467,-0.0543
468,0.0054
469,0.065
470,0.0984
471,0.1319
472,0.1654
473,0.1989
474,0.3219
475,0.445
476,0.5681
477,0.736
478,0.7079
479,0.6798
480,0.6516
481,0.5787
482,0.5169
483,0.4552
484,0.3934
485,0.3316
486,0.3629
487,0.3941
488,0.4253
489,0.4566
490,0.4878
491,0.4205
492,0.3531
493,0.2857
494,0.2632
495,0.2407
496,0.2181
497,0.1956
498,0.173
499,0.1864
500,0.1997
501,0.213
502,0.2263
503,0.2396
504,0.2096
505,0.1796
506,0.1496
507,0.142
508,0.1344
509,0.1267
510,0.149
511,0.1713
512,0.1992
513,0.227
514,0.2549
515,0.2828
516,0.2098
517,0.1369
518,0.0639
519,-0.009
520,-0.0136
521,-0.0183
522,-0.0229
523,-0.0275
524,-0.0321
525,-0.0378
526,-0.0436
527,-0.0493
528,-0.055
529,-0.072
530,-0.0889
531,-0.1058
532,-0.1228
533,-0.1229
534,-0.1156
535,-0.1082
536,-0.1009
537,-0.1055
538,-0.1101
539,-0.1147
540,-0.1194
541,-0.124
542,-0.1107
543,-0.0973
544,-0.084
545,-0.0707
546,-0.0574
547,-0.065
548,-0.0726
549,-0.0802
550,-0.0535
551,-0.0267
552,0.0001
553,0.0268
554,0.0536
555,-0.0026
556,-0.0587
557,-0.1037
558,-0.1486
559,-0.1543
560,-0.1601
561,-0.1658
562,-0.1715
563,-0.203
564,-0.2345
565,-0.266
566,-0.2975
567,-0.329
568,-0.3348
569,-0.3405
570,-0.3462
571,-0.3519
572,-0.3689
573,-0.3858
574,-0.4027
575,-0.4197
576,-0.459
577,-0.4984
578,-0.5377
579,-0.577
580,-0.5548
581,-0.5325
582,-0.5102
583,-0.4879
584,-0.4656
